name,tier,life,boss,sprite,w,h,scale,cur,in_scope,keep_reason,cls,prop_scale,prop,reason,eyes
Geonid Death-Cap,Common,11,False,sprites/enemy/aberration/geonid.atlas,16,16,0.75,12.0,False,"critter, deliberate",Critter,0.75,12.0,scale x0.75 was a choice - nearest step to 12.0px,False
Gev,Uncommon,20,False,sprites/enemy/beast/smallmammals/gecko.atlas,64,32,0.3,9.6,False,"critter, deliberate",Critter,0.38,12.2,beast/smallmammals folder,False
Grinning Gremlin,Common,11,False,sprites/enemy/basic/demon/grinning_gremlin.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
Hazel,Rare,30,False,sprites/enemy/beast/smallmammals/squirrel.atlas,32,32,1.0,32.0,False,on grid,Critter,0.38,12.2,"beast/smallmammals folder, moves 62%",True
Hedge Slime,Common,12,False,sprites/enemy/basic/monster/hedge_slime.atlas,22,10,1.0,10.0,False,"critter, deliberate",Critter,1.2,12.0,art 10px vs 32px person (x0.31),True
Honking Goose,Common,9,False,sprites/enemy/basic/animal/honking_goose.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,"basic/animal folder, art 16px vs 32px person",True
Hugs,Rare,20,False,sprites/enemy/beast/smallmammals/badger.atlas,22,16,1.0,16.0,False,on grid,Critter,0.75,12.0,beast/smallmammals folder,False
Humongous Ettin,Mythic,48,False,sprites/enemy/basic/monster/humongous_ettin.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,"art 16px vs 32px person (x0.50), life 48",True
Imp,Common,10,False,sprites/enemy/fiend/imp.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,"art 16px vs 16px person (x1.00), tagged small",True
Kastral,Uncommon,30,False,sprites/enemy/beast/bird/raven.atlas,25,16,1.0,16.0,False,on grid,Critter,0.75,12.0,beast/bird folder,False
Kitsa,Uncommon,45,False,sprites/enemy/beast/smallmammals/weasel.atlas,32,32,1.0,32.0,False,on grid,Critter,0.38,12.2,"beast/smallmammals folder, life 45, moves 62%",True
Kwain,Rare,40,False,sprites/enemy/beast/smallmammals/rabbit.atlas,32,32,1.0,32.0,False,on grid,Critter,0.38,12.2,"beast/smallmammals folder, moves 62%",True
Ladybug,Uncommon,21,False,sprites/enemy/beast/insect/ladybug.atlas,16,16,0.5,8.0,False,"critter, deliberate",Critter,0.75,12.0,"beast/insect folder, moves 50%",True
Leaping Frog,Common,9,False,sprites/enemy/basic/animal/leaping_frog.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,"basic/animal folder, art 16px vs 32px person",True
Mabel,Uncommon,30,False,sprites/enemy/beast/smallmammals/mouse.atlas,32,16,1.0,16.0,False,on grid,Critter,0.75,12.0,beast/smallmammals folder,False
Meowing Cat,Common,9,False,sprites/enemy/basic/animal/meowing_cat.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,"basic/animal folder, art 16px vs 32px person",True
Mill Mole,Mythic,49,False,sprites/enemy/beast/smallmammals/nakedmolerat.atlas,32,32,1.0,32.0,False,on grid,Critter,0.38,12.2,"beast/smallmammals folder, life 49, moves 62%",True
Mire Troll,Uncommon,20,False,sprites/enemy/basic/monster/mire_troll.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
Ms. Bumbleflower,Rare,30,False,sprites/enemy/beast/smallmammals/rabbit.atlas,32,32,1.0,32.0,False,on grid,Critter,0.38,12.2,"beast/smallmammals folder, moves 62%",True
Murky Slaad,Rare,34,False,sprites/enemy/basic/monster/murky_slaad.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
Nefarious Scamp,Rare,30,False,sprites/enemy/basic/demon/nefarious_scamp.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
Ochre Jelly,Common,13,False,sprites/enemy/basic/monster/ochre_jelly.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
Octopus,Rare,13,False,sprites/enemy/beast/ocean/octopus.atlas,16,16,0.75,12.0,False,"critter, deliberate",Critter,0.75,12.0,scale x0.75 was a choice - nearest step to 12.0px,False
Ocular Watcher,Rare,34,False,sprites/enemy/basic/monster/ocular_watcher.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
Ooze,Uncommon,12,False,sprites/enemy/ooze/ooze.atlas,16,12,0.6,7.199999999999999,False,"critter, deliberate",Critter,1.0,12.0,"ooze folder, moves 67%",True
Orange Mushroomling,Uncommon,20,False,sprites/enemy/basic/monster/orange_mushroomling.atlas,26,24,0.5,12.0,False,"critter, deliberate",Critter,0.5,12.0,scale x0.5 was a choice - nearest step to 12.0px,False
Owl,Uncommon,13,False,sprites/enemy/beast/bird/owl.atlas,15,13,0.75,9.75,False,"critter, deliberate",Critter,0.92,12.0,beast/bird folder,False
Pasturing Sheep,Uncommon,16,False,sprites/enemy/basic/animal/pasturing_sheep.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,"basic/animal folder, art 16px vs 32px person",True
Phelia,Uncommon,20,False,sprites/enemy/beast/smallmammals/dog.atlas,18,16,1.0,16.0,False,on grid,Critter,0.75,12.0,beast/smallmammals folder,False
Pit Balor,Rare,30,False,sprites/enemy/basic/demon/pit_balor.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
Pointed Demonspawn,Common,13,False,sprites/enemy/basic/demon/pointed_demonspawn.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
Preston,Uncommon,39,False,sprites/enemy/beast/smallmammals/rabbit.atlas,32,32,1.0,32.0,False,on grid,Critter,0.38,12.2,"beast/smallmammals folder, moves 62%",True
Raccoon,Rare,20,False,sprites/enemy/beast/smallmammals/raccoon.atlas,24,16,0.7,11.2,False,"critter, deliberate",Critter,0.75,12.0,beast/smallmammals folder,False
Rascally Demonling,Uncommon,20,False,sprites/enemy/basic/demon/rascally_demonling.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
Raven,Uncommon,12,False,sprites/enemy/beast/bird/raven.atlas,25,16,0.7,11.2,False,"critter, deliberate",Critter,0.75,12.0,beast/bird folder,False
Red Cap,Common,13,False,sprites/enemy/basic/monster/red_cap.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
Rin and Seri,Rare,30,False,sprites/enemy/beast/smallmammals/dog.atlas,18,16,1.0,16.0,False,on grid,Critter,0.75,12.0,beast/smallmammals folder,False
Scarab,Common,21,False,sprites/enemy/beast/insect/scarab.atlas,22,16,0.75,12.0,False,"critter, deliberate",Critter,0.75,12.0,beast/insect folder,False
Scriv,Rare,20,False,sprites/enemy/beast/bird/owl.atlas,15,13,1.0,13.0,False,"critter, deliberate",Critter,0.92,12.0,beast/bird folder,False
Shrieker Mushroom,Common,13,False,sprites/enemy/basic/monster/shrieker_mushroom.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
Sigbin,Uncommon,19,False,sprites/enemy/basic/animal/sigbin.atlas,14,16,1.0,16.0,False,on grid,Critter,0.75,12.0,"basic/animal folder, art 16px vs 32px person",True
Skewering Stalker,Uncommon,22,False,sprites/enemy/basic/demon/skewering_stalker.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
Skrelv,Common,13,False,sprites/enemy/beast/arachnid/spider_cave.atlas,20,16,1.0,16.0,False,on grid,Critter,0.75,12.0,beast/arachnid folder,False
Slow Turtle,Uncommon,16,False,sprites/enemy/basic/animal/slow_turtle.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,"basic/animal folder, art 16px vs 32px person",True
Snake,Rare,12,False,sprites/enemy/beast/reptile/big_snake.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,beast/reptile folder,False
Spider,Rare,14,False,sprites/enemy/beast/arachnid/spider_black.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,beast/arachnid folder,False
Spikey Porcupine,Uncommon,16,False,sprites/enemy/basic/animal/spikey_porcupine.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,"basic/animal folder, art 16px vs 32px person",True
Stinky Skunk,Common,9,False,sprites/enemy/basic/animal/stinky_skunk.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,"basic/animal folder, art 16px vs 32px person",True
Stone Troll,Uncommon,22,False,sprites/enemy/basic/monster/stone_troll.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
Stray Cat,Common,13,False,sprites/enemy/beast/cat/cat.atlas,16,16,0.8,12.8,False,"critter, deliberate",Critter,0.75,12.0,beast/cat folder,False
Tainted Scoundrel,Common,12,False,sprites/enemy/basic/demon/tainted_scoundrel.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
The Infamous Cruelclaw,Rare,30,False,sprites/enemy/beast/smallmammals/weasel.atlas,32,32,1.0,32.0,False,on grid,Critter,0.38,12.2,"beast/smallmammals folder, moves 62%",True
Tiny Chick,Common,9,False,sprites/enemy/basic/animal/tiny_chick.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,"basic/animal folder, art 16px vs 32px person",True
Toski,Uncommon,31,False,sprites/enemy/beast/smallmammals/squirrel.atlas,32,32,1.0,32.0,False,on grid,Critter,0.38,12.2,"beast/smallmammals folder, moves 62%",True
Turtle,Uncommon,21,False,sprites/enemy/beast/reptile/turtle.atlas,26,14,0.8,11.200000000000001,False,"critter, deliberate",Critter,0.86,12.0,beast/reptile folder,False
Vega,Rare,30,False,sprites/enemy/beast/bird/owl.atlas,15,13,1.0,13.0,False,"critter, deliberate",Critter,0.92,12.0,beast/bird folder,False
Viper,Common,15,False,sprites/enemy/beast/reptile/big_snake_2.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,beast/reptile folder,False
Vulture,Common,11,False,sprites/enemy/beast/bird/vulture.atlas,32,22,0.6,13.2,False,"critter, deliberate",Critter,0.55,12.1,beast/bird folder,False
Warp Skull,Rare,28,False,sprites/enemy/basic/demon/warp_skull.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,art 16px vs 32px person (x0.50),True
Watcher in the Web,Common,13,False,sprites/enemy/beast/arachnid/spider_black.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,beast/arachnid folder,False
Worm,Common,11,False,sprites/enemy/beast/insect/smallworm.atlas,24,16,1.0,16.0,False,on grid,Critter,0.75,12.0,beast/insect folder,False
Yoshimaru,Rare,31,False,sprites/enemy/beast/smallmammals/dog.atlas,18,16,1.0,16.0,False,on grid,Critter,0.75,12.0,beast/smallmammals folder,False
Zabaz,Rare,20,False,sprites/enemy/beast/insect/wasp.atlas,27,32,1.0,32.0,False,on grid,Critter,0.38,12.2,"beast/insect folder, moves 62%",True
Zoraline,Rare,30,False,sprites/enemy/beast/smallmammals/bat.atlas,16,16,1.0,16.0,False,on grid,Critter,0.75,12.0,beast/smallmammals folder,False
Aclazotz,Uncommon,21,False,sprites/enemy/beast/smallmammals/bat.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,"beast/smallmammals folder, but scaled x3 on purpose - nearest step to 48px",True
Akawalli,Common,20,False,sprites/enemy/plant/fungus_golgari.atlas,25,25,2.0,50.0,False,already huge,Huge,1.92,48.0,scale x2 was a choice - nearest step to 50.0px,False
Akroma,Mythic,40,True,sprites/enemy/celestial/akroma.atlas,32,32,3.0,96.0,False,on grid,Huge,1.5,48.0,"scale x3 was a choice - nearest step to 96.0px, tagged humanoid, boss sized on purpose - nearest step to 96px, moves 50%",True
Animar,Rare,40,False,sprites/enemy/plant/treant_2.atlas,16,16,4.0,64.0,False,on grid,Huge,3.0,48.0,scale x4 was a choice - nearest step to 64.0px,False
Anzrag,Rare,20,False,sprites/enemy/beast/smallmammals/nakedmolerat.atlas,32,32,3.0,96.0,False,on grid,Huge,1.5,48.0,"beast/smallmammals folder, but scaled x3 on purpose - nearest step to 96px, moves 50%",True
Arasta,Rare,39,False,sprites/enemy/beast/arachnid/spider_black.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,"beast/arachnid folder, but scaled x3 on purpose - nearest step to 48px",True
Arcane Golem,Mythic,25,False,sprites/enemy/construct/arcane_golem.atlas,96,96,0.5,48.0,False,on grid,Huge,0.5,48.0,scale x0.5 was a choice - nearest step to 48.0px,False
Arixmethes,Rare,30,False,sprites/enemy/beast/reptile/turtle.atlas,26,14,4.0,56.0,False,already huge,Huge,3.43,48.0,"beast/reptile folder, but scaled x4 on purpose - nearest step to 56px",True
Arzakon,Uncommon,200,False,sprites/enemy/fiend/scourgemaster.atlas,32,32,3.0,96.0,False,on grid,Huge,1.5,48.0,"scale x3 was a choice - nearest step to 96.0px, life 200, moves 50%",True
"Arzakon, Shandalar's Doom",Uncommon,200,True,sprites/enemy/fiend/scourgemaster.atlas,32,32,2.0,64.0,False,on grid,Huge,1.5,48.0,"scale x2 was a choice - nearest step to 64.0px, boss sized on purpose - nearest step to 64px",True
Azlask,Rare,50,False,sprites/enemy/aberration/eldrazi/eldrazi_2.atlas,64,64,2.0,128.0,False,on grid,Huge,0.75,48.0,"scale x2 was a choice - nearest step to 128.0px, life 50, moves 62%",True
Blech,Uncommon,20,False,sprites/enemy/aberration/gianttoad.atlas,128,96,0.5,48.0,False,on grid,Huge,0.5,48.0,"scale x0.5 was a choice - nearest step to 48.0px, named large",False
Charix,Uncommon,31,False,sprites/enemy/beast/ocean/crab.atlas,20,16,4.0,64.0,False,on grid,Huge,3.0,48.0,scale x4 was a choice - nearest step to 64.0px,False
Child of Alara,Mythic,50,False,sprites/enemy/celestial/seraphim.atlas,32,32,2.0,64.0,False,on grid,Huge,1.5,48.0,"scale x2 was a choice - nearest step to 64.0px, life 50",True
Cromat,Rare,50,False,sprites/enemy/monstrosity/sandwurm.atlas,32,20,3.0,60.0,False,already huge,Huge,2.4,48.0,"scale x3 was a choice - nearest step to 60.0px, life 50",True
Eirdu,Rare,80,False,sprites/enemy/monstrosity/androsphinx.atlas,32,32,2.5,80.0,False,on grid,Huge,1.5,48.0,"scale x2.5 was a choice - nearest step to 80.0px, life 80",True
Eldrazi Devastator,Rare,30,False,sprites/enemy/aberration/eldrazi/eldrazi_large.atlas,32,32,1.0,32.0,False,on grid,Huge,1.5,48.0,"art 32px vs 16px person (x2.00), named large, moves 50%",True
Eluge,Mythic,43,False,sprites/enemy/monstrosity/kavu.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,scale x3 was a choice - nearest step to 48.0px,False
Emrakul,Rare,100,True,sprites/enemy/aberration/emrakul.atlas,64,64,1.5,96.0,False,on grid,Huge,0.75,48.0,"scale x1.5 was a choice - nearest step to 96.0px, boss sized on purpose - nearest step to 96px, moves 50%",True
"Emrakul, the Aeons Torn",Rare,70,False,sprites/enemy/aberration/emrakul.atlas,64,64,2.0,128.0,False,on grid,Huge,0.75,48.0,"scale x2 was a choice - nearest step to 128.0px, life 70, moves 62%",True
"Gaea, the Worldsoul",Uncommon,60,True,sprites/enemy/plant/hiddenbush.atlas,46,48,1.0,48.0,False,on grid,Huge,1.0,48.0,"art 48px vs 16px person (x3.00), +1 step for boss",True
Gargos,Mythic,41,False,sprites/enemy/monstrosity/hydra_large.atlas,32,32,1.5,48.0,False,on grid,Huge,1.5,48.0,"scale x1.5 was a choice - nearest step to 48.0px, named large",False
Ghalta,Rare,40,True,sprites/enemy/beast/dinosaur/ghalta.atlas,32,32,2.5,80.0,False,on grid,Huge,1.5,48.0,"scale x2.5 was a choice - nearest step to 80.0px, boss sized on purpose - nearest step to 80px",True
Gishath,Rare,40,False,sprites/enemy/beast/dinosaur/ancient_2.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,scale x3 was a choice - nearest step to 48.0px,False
Go-Shintai,Rare,40,False,sprites/enemy/construct/golem_green.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,scale x3 was a choice - nearest step to 48.0px,False
Gorma,Rare,20,False,sprites/enemy/aberration/froghemoth.atlas,65,50,1.0,50.0,False,already huge,Huge,0.96,48.0,art 50px vs 16px person (x3.12),True
Griselbrand,Rare,40,True,sprites/enemy/fiend/griselbrand.atlas,32,32,3.0,96.0,False,on grid,Huge,1.5,48.0,"scale x3 was a choice - nearest step to 96.0px, boss sized on purpose - nearest step to 96px, moves 50%",True
Grolnok,Uncommon,50,True,sprites/enemy/aberration/gianttoad.atlas,128,96,0.5,48.0,False,on grid,Huge,0.5,48.0,"scale x0.5 was a choice - nearest step to 48.0px, named large, boss sized on purpose - nearest step to 48px",True
Guardian Angel,Mythic,50,True,sprites/enemy/celestial/akroma.atlas,32,32,1.0,32.0,False,on grid,Huge,1.5,48.0,"art 32px vs 16px person (x2.00), +1 step for boss, moves 50%",True
Gyrus,Uncommon,30,False,sprites/enemy/monstrosity/hydra_large.atlas,32,32,1.0,32.0,False,on grid,Huge,1.5,48.0,"art 32px vs 16px person (x2.00), named large, moves 50%",True
Infinite Guideline Station,Rare,30,False,sprites/enemy/construct/juggernaut.atlas,32,32,2.0,64.0,False,on grid,Huge,1.5,48.0,scale x2 was a choice - nearest step to 64.0px,False
Ishkanah,Rare,30,False,sprites/enemy/beast/arachnid/spider_purple.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,"beast/arachnid folder, but scaled x3 on purpose - nearest step to 48px",True
Karona (Boss),Rare,80,True,sprites/enemy/aberration/sliver_queen.atlas,64,64,1.0,64.0,False,on grid,Huge,0.75,48.0,"art 64px vs 16px person (x4.00), named large, +1 step for boss",True
Kazuul,Uncommon,17,False,sprites/enemy/monstrosity/ogre_large.atlas,64,64,1.0,64.0,False,on grid,Huge,0.75,48.0,"art 64px vs 16px person (x4.00), named large",True
Klothys,Rare,50,False,sprites/enemy/fiend/warden_2.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,"scale x3 was a choice - nearest step to 48.0px, life 50",True
Kogla (Boss),Common,25,True,sprites/enemy/beast/ape/gorilla.atlas,64,64,1.0,64.0,False,on grid,Huge,0.75,48.0,"beast/ape folder, named large, +1 step for boss",True
Koma,Rare,40,False,sprites/enemy/beast/reptile/big_snake.atlas,16,16,4.0,64.0,False,on grid,Huge,3.0,48.0,"beast/reptile folder, but scaled x4 on purpose - nearest step to 64px",True
"Kozilek, Butcher of Truth",Rare,70,False,sprites/enemy/aberration/eldrazi/kozilek.atlas,64,80,2.0,160.0,False,on grid,Huge,0.6,48.0,"scale x2 was a choice - nearest step to 160.0px, life 70, moves 70%",True
Lathliss,Mythic,40,True,sprites/enemy/dragon/lathiss.atlas,32,32,2.5,80.0,False,on grid,Huge,1.5,48.0,"dragon folder, boss sized on purpose - nearest step to 80px",True
Lorthos,Rare,40,True,sprites/enemy/monstrosity/lorthos.atlas,32,32,3.5,112.0,False,on grid,Huge,1.5,48.0,"scale x3.5 was a choice - nearest step to 112.0px, boss sized on purpose - nearest step to 112px, moves 57%",True
Maha,Rare,28,False,sprites/enemy/beast/bird/owl.atlas,15,13,4.0,52.0,False,already huge,Huge,3.69,48.0,"beast/bird folder, but scaled x4 on purpose - nearest step to 52px",True
Mitotic Ultimus,Rare,26,False,sprites/enemy/ooze/giant_slime.atlas,64,40,1.5,60.0,False,already huge,Huge,1.2,48.0,"ooze folder, but scaled x1.5 on purpose - nearest step to 60px",True
Muldrotha,Rare,30,False,sprites/enemy/elemental/waterelemental_3.atlas,16,21,3.0,63.0,False,already huge,Huge,2.29,48.1,scale x3 was a choice - nearest step to 63.0px,False
Nemata,Uncommon,30,False,sprites/enemy/plant/fungus_golgari.atlas,25,25,2.0,50.0,False,already huge,Huge,1.92,48.0,scale x2 was a choice - nearest step to 50.0px,False
Nephilim Epochal,Rare,100,False,sprites/enemy/aberration/eldrazi/eldrazi_2.atlas,64,64,1.0,64.0,False,on grid,Huge,0.75,48.0,"art 64px vs 16px person (x4.00), life 100",True
O-Kagachi,Rare,40,False,sprites/enemy/monstrosity/hydra_large.atlas,32,32,1.5,48.0,False,on grid,Huge,1.5,48.0,"scale x1.5 was a choice - nearest step to 48.0px, named large",False
Ovika,Uncommon,30,False,sprites/enemy/aberration/phyrexian/furnacegoblin.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,scale x3 was a choice - nearest step to 48.0px,False
Progenitus,Mythic,50,False,sprites/enemy/monstrosity/hydra_large.atlas,32,32,2.0,64.0,False,on grid,Huge,1.5,48.0,"scale x2 was a choice - nearest step to 64.0px, named large, life 50",True
Raffine,Rare,30,False,sprites/enemy/monstrosity/androsphinx.atlas,32,32,1.5,48.0,False,on grid,Huge,1.5,48.0,scale x1.5 was a choice - nearest step to 48.0px,False
Reaper King,Rare,40,False,sprites/enemy/construct/scarecrow.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,scale x3 was a choice - nearest step to 48.0px,False
Rikala,Uncommon,60,False,sprites/enemy/monstrosity/homarid.atlas,64,32,2.0,64.0,False,on grid,Huge,1.5,48.0,"scale x2 was a choice - nearest step to 64.0px, life 60",True
Salacinder and Soot,Rare,60,False,sprites/enemy/monstrosity/basilisk_3.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,"scale x3 was a choice - nearest step to 48.0px, life 60",True
Shorikai,Rare,30,False,sprites/enemy/construct/arcane_golem.atlas,96,96,0.5,48.0,False,on grid,Huge,0.5,48.0,scale x0.5 was a choice - nearest step to 48.0px,False
Slimefoot,Uncommon,40,True,sprites/enemy/plant/slimefoot.atlas,96,96,0.7,67.19999999999999,False,already huge,Huge,0.5,48.0,"scale x0.7 was a choice - nearest step to 67.2px, boss sized on purpose - nearest step to 67px",True
Sliver Gravemother,Rare,40,False,sprites/enemy/aberration/sliver_white.atlas,16,16,4.0,64.0,False,on grid,Huge,3.0,48.0,scale x4 was a choice - nearest step to 64.0px,False
Sliver Hivelord,Rare,40,False,sprites/enemy/aberration/sliver_green.atlas,16,16,4.0,64.0,False,on grid,Huge,3.0,48.0,scale x4 was a choice - nearest step to 64.0px,False
Sliver Legion,Rare,40,False,sprites/enemy/aberration/sliver_red.atlas,16,16,4.0,64.0,False,on grid,Huge,3.0,48.0,scale x4 was a choice - nearest step to 64.0px,False
Sliver Overlord,Rare,40,False,sprites/enemy/aberration/sliver.atlas,16,16,4.0,64.0,False,on grid,Huge,3.0,48.0,scale x4 was a choice - nearest step to 64.0px,False
Sliver Queen,Rare,50,True,sprites/enemy/aberration/sliver_queen.atlas,64,64,1.0,64.0,False,on grid,Huge,0.75,48.0,"art 64px vs 16px person (x4.00), +1 step for boss",True
Sliver Weftwinder,Rare,40,False,sprites/enemy/aberration/sliver_blue.atlas,16,16,4.0,64.0,False,on grid,Huge,3.0,48.0,scale x4 was a choice - nearest step to 64.0px,False
Terrian,Uncommon,32,False,sprites/enemy/ooze/oozeboss.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,"ooze folder, but scaled x3 on purpose - nearest step to 48px",True
The Dawning Archaic,Rare,40,False,sprites/enemy/aberration/eldrazi/eldrazi_large.atlas,32,32,2.0,64.0,False,on grid,Huge,1.5,48.0,"scale x2 was a choice - nearest step to 64.0px, named large",False
The First Sliver,Rare,50,False,sprites/enemy/aberration/sliverexperiment.atlas,16,16,4.0,64.0,False,on grid,Huge,3.0,48.0,"scale x4 was a choice - nearest step to 64.0px, life 50",True
The Gitrog Monster,Rare,50,False,sprites/enemy/aberration/gianttoad.atlas,128,96,1.0,96.0,False,on grid,Huge,0.5,48.0,"art 96px vs 16px person (x6.00), named large, life 50, moves 50%",True
The Hydra of Shandalaar,Rare,30,True,sprites/enemy/monstrosity/hydra_large.atlas,32,32,1.0,32.0,False,on grid,Huge,1.5,48.0,"art 32px vs 16px person (x2.00), named large, +1 step for boss, moves 50%",True
The Mimeoplasm,Rare,40,False,sprites/enemy/ooze/giant_slime.atlas,64,40,2.0,80.0,False,on grid,Huge,1.2,48.0,"ooze folder, but scaled x2 on purpose - nearest step to 80px",True
The Mycotyrant,Uncommon,30,False,sprites/enemy/plant/slimefoot.atlas,96,96,1.0,96.0,False,on grid,Huge,0.5,48.0,"art 96px vs 16px person (x6.00), moves 50%",True
Thorna and Twigtooth,Rare,60,False,sprites/enemy/plant/treant_2.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,"scale x3 was a choice - nearest step to 48.0px, life 60",True
Traxos,Uncommon,20,False,sprites/enemy/construct/juggernaut.atlas,32,32,2.0,64.0,False,on grid,Huge,1.5,48.0,scale x2 was a choice - nearest step to 64.0px,False
Twister of Time,Rare,30,True,sprites/enemy/celestial/seraphim.atlas,32,32,1.0,32.0,False,on grid,Huge,1.5,48.0,"art 32px vs 16px person (x2.00), +1 step for boss, moves 50%",True
Ulalek,Rare,50,False,sprites/enemy/aberration/eldrazi/eldrazi.atlas,16,16,6.0,96.0,False,on grid,Huge,3.0,48.0,"scale x6 was a choice - nearest step to 96.0px, life 50, moves 50%",True
Ulamog,Rare,70,False,sprites/enemy/aberration/eldrazi/ulamog.atlas,80,80,3.0,240.0,False,on grid,Huge,0.6,48.0,"scale x3 was a choice - nearest step to 240.0px, life 70, moves 80%",True
Uurg,Common,30,False,sprites/enemy/aberration/froghemoth.atlas,65,50,1.0,50.0,False,already huge,Huge,0.96,48.0,art 50px vs 16px person (x3.12),True
Xenagos,Rare,40,False,sprites/enemy/fey/satyr_2.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,scale x3 was a choice - nearest step to 48.0px,False
Xyris,Uncommon,20,False,sprites/enemy/beast/reptile/snake_green.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,"beast/reptile folder, but scaled x3 on purpose - nearest step to 48px",True
Yargle and Multani,Rare,30,False,sprites/enemy/aberration/froghemoth.atlas,65,50,2.0,100.0,False,already huge,Huge,0.96,48.0,"scale x2 was a choice - nearest step to 100.0px, moves 52%",True
Zask,Uncommon,20,False,sprites/enemy/beast/insect/scarab.atlas,22,16,4.0,64.0,False,on grid,Huge,3.0,48.0,"beast/insect folder, but scaled x4 on purpose - nearest step to 64px",True
Zaxara,Rare,30,False,sprites/enemy/monstrosity/hydra_large.atlas,32,32,1.0,32.0,False,on grid,Huge,1.5,48.0,"art 32px vs 16px person (x2.00), named large, moves 50%",True
Zhulodok,Rare,50,False,sprites/enemy/aberration/eldrazi/eldrazi_large.atlas,32,32,3.0,96.0,False,on grid,Huge,1.5,48.0,"scale x3 was a choice - nearest step to 96.0px, named large, life 50, moves 50%",True
Zilortha,Uncommon,30,False,sprites/enemy/beast/dinosaur/ancient.atlas,16,16,3.0,48.0,False,on grid,Huge,3.0,48.0,scale x3 was a choice - nearest step to 48.0px,False
Aegar,Rare,30,False,sprites/enemy/giant/firegiant.atlas,16,16,2.0,32.0,False,on grid,Large,2.0,32.0,giant folder,False
Aesi,Uncommon,30,False,sprites/enemy/beast/reptile/big_snake.atlas,16,16,2.0,32.0,False,on grid,Large,2.0,32.0,"beast/reptile folder, but scaled x2 on purpose - nearest step to 32px",True
Akroma and Keleth,Mythic,53,False,sprites/enemy/celestial/akroma.atlas,32,32,1.0,32.0,False,on grid,Large,1.0,32.0,"art 32px vs 16px person (x2.00), life 53",True
Akul,Rare,50,False,sprites/enemy/fiend/archfiend.atlas,32,32,1.0,32.0,False,on grid,Large,1.0,32.0,"art 32px vs 16px person (x2.00), life 50",True
